number,throttle,steer
482,25,90
483,24,90
484,24,90
485,24,90
486,22,90
487,20,80
488,20,80
489,20,80
490,24,80
491,27,80
492,25,80
493,24,80
494,25,80
495,24,80
496,24,80
497,22,80
498,20,80
499,20,80
500,20,80
501,24,90
502,27,90
503,25,90
504,25,90
505,25,90
506,24,90
507,20,80
508,22,80
509,22,90
510,22,80
511,20,80
512,25,90
513,25,80
514,24,80
515,24,80
516,24,80
517,24,80
518,27,70
519,22,70
520,22,80
521,20,80
522,20,80
523,27,100
524,25,100
525,27,100
526,25,100
527,25,100
528,24,90
529,24,90
530,24,90
531,22,80
532,22,80
533,22,80
534,22,80
535,27,80
536,27,80
537,27,60
538,25,70
539,25,70
540,24,70
541,24,80
542,22,80
543,20,90
544,20,90
545,24,90
546,29,90
547,25,90
548,25,90
549,24,90
550,24,100
551,22,100
552,27,100
553,27,100
554,22,90
555,20,90
556,24,90
557,27,80
558,25,80
559,27,80
560,25,80
561,25,80
562,24,70
563,22,60
564,20,70
565,18,70
566,18,70
567,24,80
568,24,100
569,24,100
570,20,100
571,18,110
572,14,120
573,11,110
574,11,100
575,11,100
576,11,80
577,12,60
578,22,50
579,22,60
580,22,70
581,20,70
582,20,80
583,18,90
584,18,90
585,18,90
586,16,90
587,24,90
588,24,90
589,25,90
590,25,90
591,24,90
592,25,90
593,24,90
594,24,90
595,24,90
596,22,90
597,22,90
598,20,90
599,20,80
600,25,90
601,27,90
602,27,90
603,25,90
604,25,90
605,25,90
606,24,90
607,24,90
608,22,80
609,22,80
610,20,80
611,27,90
612,25,90
613,27,90
614,27,90
615,25,90
616,25,90
617,24,90
618,22,80
619,22,80
620,22,80
621,22,80
622,27,90
623,25,90
624,25,90
625,25,80
626,24,80
627,24,80
628,22,80
629,24,70
630,24,70
631,22,60
632,22,60
633,29,60
634,27,70
635,27,90
636,27,110
637,25,120
638,24,130
639,24,130
640,24,120
641,22,100
642,22,70
643,20,60
644,12,40
645,14,30
646,11,50
647,0,60
648,0,80
649,0,100
650,0,110
651,0,110
652,0,100
653,0,100
654,0,90
655,11,90
656,20,90
657,20,90
658,22,90
659,24,90
660,24,90
661,24,80
662,24,80
663,24,80
664,25,80
665,27,80
666,31,80
667,33,90
668,33,90
669,33,90
670,33,90
671,31,90
672,27,90
673,24,80
674,24,80
675,22,80
676,22,80
677,22,80
678,27,80
679,27,80
680,25,60
681,24,70
682,24,70
683,22,70
684,22,80
685,22,90
686,20,110
687,20,120
688,27,120
689,25,110
690,27,100
691,27,80
692,25,80
693,24,80
694,24,70
695,22,70
696,22,70
697,24,80
698,24,80
699,27,80
700,27,80
701,25,80
702,27,80
703,25,80
704,25,80
705,24,80
706,24,90
707,22,90
708,20,90
709,20,90
710,20,100
711,27,100
712,27,100
713,25,90
714,25,90
715,25,90
716,25,80
717,24,80
718,22,70
719,22,70
720,20,60
721,24,60
722,25,70
723,27,80
724,27,90
725,25,100
726,25,110
727,24,110
728,24,100
729,24,100
730,22,80
731,22,70
732,27,70
733,25,70
734,27,80
735,25,80
736,24,90
737,25,100
738,24,100
739,24,90
740,24,90
741,22,90
742,22,70
743,27,80
744,27,80
745,29,80
746,27,80
747,27,100
748,25,100
749,25,90
750,24,90
751,24,90
752,24,90
753,24,90
754,24,80
755,27,80
756,29,90
757,29,80
758,27,80
759,27,80
760,25,80
761,25,80
762,24,80
763,22,80
764,24,80
765,27,90
766,27,100
767,27,100
768,25,100
769,27,90
770,25,80
771,29,80
772,27,80
773,27,80
774,27,60
775,24,50
776,24,60
777,20,60
778,14,70
779,0,80
780,0,80
781,0,90
782,0,90
783,0,90
784,0,90
785,0,90
786,0,90
787,0,90
788,0,90
789,0,90
790,0,90
791,0,80
792,0,80
793,0,80
794,0,90
795,0,90
796,0,90
797,0,90
798,0,90
799,0,90
800,0,90
801,0,80
802,0,80
803,0,80
804,0,90
805,0,90
806,0,90
807,0,90
808,0,90
809,0,90
810,0,80
811,0,80
812,0,90
813,0,90
814,0,90
815,0,90
816,0,90
817,0,90
818,0,90
819,0,90
820,0,90
821,0,90
822,0,80
823,0,90
824,0,90
825,0,90
826,0,90
827,0,90
828,0,80
829,0,80
830,0,80
831,0,80
832,0,90
833,0,90
834,0,90
835,0,90
836,0,90
837,0,90
838,0,90
